CCAA,año,titularidad,n_hospitales,total_hospitales,pct
CANARIAS,2023,Público,16,40,40.0
CANTABRIA,2023,Privado,3,7,42.85714285714285
CANTABRIA,2023,Público,4,7,57.14285714285714
CASTILLA Y LEÓN,2023,Otros,8,46,17.391304347826086
CASTILLA Y LEÓN,2023,Privado,14,46,30.434782608695656
CASTILLA Y LEÓN,2023,Público,24,46,52.17391304347826
CASTILLA-LA MANCHA,2023,Otros,2,32,6.25
CASTILLA-LA MANCHA,2023,Privado,8,32,25.0
CASTILLA-LA MANCHA,2023,Público,22,32,68.75
CATALUÑA,2023,Otros,40,203,19.704433497536947
CATALUÑA,2023,Privado,141,203,69.45812807881774
CATALUÑA,2023,Público,22,203,10.83743842364532
CEUTA,2023,Público,1,1,100.0
COMUNIDAD VALENCIANA,2023,Otros,5,62,8.064516129032258
COMUNIDAD VALENCIANA,2023,Privado,21,62,33.87096774193548
COMUNIDAD VALENCIANA,2023,Público,36,62,58.06451612903226
EXTREMADURA,2023,Otros,1,25,4.0
EXTREMADURA,2023,Privado,9,25,36.0
EXTREMADURA,2023,Público,15,25,60.0
GALICIA,2023,Privado,18,33,54.54545454545454
GALICIA,2023,Público,15,33,45.45454545454545
ILLES BALEARS,2023,Privado,14,25,56.00000000000001
ILLES BALEARS,2023,Público,11,25,44.0
LA RIOJA,2023,Otros,1,8,12.5
LA RIOJA,2023,Privado,3,8,37.5
LA RIOJA,2023,Público,4,8,50.0
MADRID,2023,Privado,49,91,53.84615384615385
MADRID,2023,Público,42,91,46.15384615384615
MELILLA,2023,Público,1,1,100.0
PAÍS VASCO,2023,Otros,8,42,19.047619047619047
PAÍS VASCO,2023,Privado,14,42,33.33333333333333
PAÍS VASCO,2023,Público,20,42,47.61904761904761
PPDO. DE ASTURIAS,2023,Otros,1,26,3.8461538461538463
PPDO. DE ASTURIAS,2023,Privado,14,26,53.84615384615385
PPDO. DE ASTURIAS,2023,Público,11,26,42.30769230769231
REGIÓN DE MURCIA,2023,Privado,16,28,57.14285714285714
REGIÓN DE MURCIA,2023,Público,12,28,42.85714285714285
